연,월,평균 기온(°C),최저 기온(°C),최고 기온(°C),10분 최다강수량(mm),1시간 최다강수(mm),강수 계속시간(hr),일강수량(mm),평균 상대습도(%),평균 증기압(hPa),일 최심적설(cm),평균 전운량(10분위),10cm 지중온도(°C),평균 풍속(m/s)
2013,1,-3.432258064516129,-16.4,11.5,2.1259360730593606,4.985844748858447,180.4677547495682,202.68306451612904,57.07741935483871,3.045161290322581,10.9,4.261290322580645,-1.3387096774193548,2.670967741935484
2013,2,-1.2392857142857143,-15.8,13.9,2.1259360730593606,4.985844748858447,144.17411053540587,203.08790322580646,53.628571428571426,3.207142857142857,16.5,4.7178571428571425,-0.34285714285714286,2.882142857142857
2013,3,5.135483870967741,-4.4,23.8,2.1259360730593606,4.985844748858447,164.345636154289,225.08145161290324,49.1741935483871,4.34516129032258,3.1537313432835816,3.319354838709677,5.66774193548387,3.032258064516129
2013,4,10.006666666666666,1.3,21.6,4.0,11.5,179.98411053540588,200.68790322580645,53.97666666666667,6.516666666666667,3.1537313432835816,5.006666666666666,10.639999999999999,3.4266666666666667
2013,5,18.22258064516129,7.9,31.8,2.5,11.0,192.82881404720783,303.98387096774195,57.78387096774193,11.62258064516129,3.1537313432835816,4.670967741935484,18.98709677419355,2.9000000000000004
2013,6,24.41,16.3,32.6,2.1259360730593606,4.985844748858447,170.61881404720782,200.28387096774193,60.11,17.813333333333333,3.1537313432835816,5.4433333333333325,26.076666666666664,2.23
2013,7,25.519354838709678,20.5,31.3,14.5,42.0,225.03470351180195,719.1959677419355,79.25483870967743,25.5741935483871,3.1537313432835816,8.493548387096775,25.85483870967742,3.351612903225807
2013,8,27.69677419354839,21.1,33.9,15.0,43.5,130.11305123776626,286.18709677419355,69.33870967741936,25.44516129032258,3.1537313432835816,6.22258064516129,28.11935483870968,2.774193548387097
2013,9,21.753333333333334,10.9,31.1,4.5,13.0,182.42093264248703,293.28548387096777,62.88666666666666,16.186666666666667,3.1537313432835816,5.536666666666666,23.10666666666667,2.2366666666666664
2013,10,15.77741935483871,4.3,28.1,4.5,6.0,179.75245826137018,237.07903225806453,58.36451612903225,10.638709677419355,3.1537313432835816,2.8548387096774195,16.538709677419355,2.480645161290323
2013,11,6.15,-6.4,20.7,2.1259360730593606,4.985844748858447,129.51622913068508,158.58951612903226,58.18666666666666,5.8933333333333335,3.1537313432835816,3.9133333333333336,7.180000000000001,2.7366666666666664
2013,12,-0.1838709677419355,-9.8,11.0,2.1259360730593606,4.985844748858447,153.29093264248704,179.48548387096776,60.15161290322581,3.835483870967742,5.8,3.9838709677419355,1.635483870967742,2.393548387096774
2014,1,-0.6774193548387096,-10.5,8.2,2.1259360730593606,4.985844748858447,153.25881404720784,184.98387096774195,50.07741935483871,3.0580645161290323,6.1,3.3870967741935485,-0.5645161290322581,2.425806451612903
2014,2,1.9285714285714286,-10.5,16.4,2.1259360730593606,4.985844748858447,171.85775474956822,196.78306451612903,51.982142857142854,3.7714285714285714,5.8,4.0,1.625,2.6964285714285716
2014,3,7.890322580645161,-4.6,23.8,2.1259360730593606,4.985844748858447,140.70093264248703,161.98548387096776,59.83548387096774,6.738709677419355,3.1537313432835816,3.9322580645161294,7.945161290322581,3.0290322580645164
2014,4,13.963333333333333,2.3,26.2,2.1259360730593606,4.985844748858447,198.465636154289,228.78145161290323,59.873333333333335,9.229999999999999,3.1537313432835816,4.746666666666667,15.183333333333334,2.8233333333333333
2014,5,18.94516129032258,6.8,33.3,2.5,9.0,168.74669545192862,252.18225806451613,59.05806451612903,12.619354838709677,3.1537313432835816,3.170967741935484,20.56451612903226,3.203225806451613
2014,6,23.063333333333333,17.3,31.1,10.5,14.5,157.58305123776626,235.68709677419355,72.80666666666666,20.03666666666667,3.1537313432835816,6.676666666666667,24.396666666666665,2.603333333333333
2014,7,26.148387096774194,19.1,34.4,14.5,34.5,195.07987334484744,371.28467741935486,74.23548387096774,24.641935483870967,3.1537313432835816,6.835483870967742,27.287096774193547,2.7548387096774194
2014,8,25.164516129032258,18.3,35.8,7.5,25.5,187.9683477259643,267.39112903225805,77.19354838709677,24.23225806451613,3.1537313432835816,7.132258064516129,25.816129032258065,2.448387096774194
2014,9,22.063333333333333,14.9,31.3,4.0,11.5,178.3377547495682,268.68306451612904,68.5,17.779999999999998,3.1537313432835816,4.930000000000001,23.726666666666667,2.08
2014,10,15.635483870967741,2.7,29.0,2.5,6.0,189.2235175590098,267.1798387096774,63.15806451612903,11.138709677419355,3.1537313432835816,3.3193548387096774,16.50967741935484,2.4419354838709677
2014,11,8.953333333333335,-3.1,22.9,2.1259360730593606,4.985844748858447,158.98881404720782,213.48387096774195,60.93333333333333,7.14,3.1537313432835816,4.3,9.129999999999999,2.466666666666667
2014,12,-2.9193548387096775,-13.2,7.9,2.1259360730593606,4.985844748858447,137.51411053540588,146.88790322580647,56.26129032258064,2.9387096774193546,3.5,3.4451612903225803,-0.2870967741935484,2.8483870967741933
2015,1,-0.9354838709677419,-9.8,9.0,2.1259360730593606,4.985844748858447,169.445636154289,209.08145161290324,56.36451612903225,3.429032258064516,5.1,3.851612903225806,-0.6935483870967742,2.648387096774193
2015,2,1.042857142857143,-13.0,13.0,2.1259360730593606,4.985844748858447,175.85881404720783,194.68387096774194,58.942857142857136,4.071428571428571,3.1537313432835816,4.45,0.8928571428571429,2.867857142857143
2015,3,6.290322580645161,-6.9,21.9,2.1259360730593606,4.985844748858447,174.96351755900977,224.57983870967743,45.1741935483871,4.422580645161291,3.1537313432835816,2.7870967741935484,6.380645161290323,3.083870967741935
2015,4,13.326666666666666,3.5,28.3,8.5,16.5,183.07516983304546,200.88870967741937,54.38666666666666,7.989999999999999,3.1537313432835816,4.97,13.360000000000001,3.1199999999999997
2015,5,18.883870967741935,8.3,32.2,3.0,6.5,188.1345768566494,235.28064516129032,52.78064516129032,10.958064516129031,3.1537313432835816,4.135483870967741,20.916129032258063,2.954838709677419
2015,6,23.586666666666666,15.6,34.9,10.5,25.5,168.68093264248705,253.78548387096774,59.809999999999995,16.84,3.1537313432835816,5.593333333333334,25.063333333333333,2.546666666666667
2015,7,25.835483870967742,18.2,36.0,9.5,31.0,214.04411053540585,354.98790322580646,71.15483870967742,23.419354838709676,3.1537313432835816,7.006451612903225,25.855180829493086,2.8419354838709676
2015,8,26.26774193548387,18.9,34.4,15.5,21.5,128.44516983304547,193.28870967741938,69.7741935483871,23.461290322580645,3.1537313432835816,5.641935483870968,26.65806451612903,2.396774193548387
2015,9,22.39,14.2,31.0,12.0,16.5,162.77351755900978,240.97983870967744,56.20666666666667,14.813333333333333,3.1537313432835816,3.8466666666666667,23.793333333333333,2.3033333333333332
2015,10,15.506451612903225,1.1,26.6,5.5,16.5,169.6345768566494,287.8806451612903,60.358064516129026,10.770967741935483,3.1537313432835816,2.8419354838709676,16.561290322580643,2.3129032258064517
2015,11,8.9,-7.3,21.0,2.1259360730593606,4.985844748858447,253.85411053540588,233.58790322580646,73.28333333333333,8.629999999999999,3.1537313432835816,6.553333333333333,10.023333333333333,2.67
2015,12,1.5935483870967742,-9.5,12.2,2.1259360730593606,4.985844748858447,178.85881404720783,201.08387096774194,59.86451612903225,4.251612903225807,6.5,4.125806451612903,2.9096774193548387,2.3451612903225807
2016,1,-3.2,-18.0,9.5,2.1259360730593606,4.985844748858447,170.1335175590098,215.97983870967744,53.045161290322575,2.829032258064516,3.1537313432835816,3.990322580645161,-0.635483870967742,2.47741935483871
2016,2,0.1931034482758621,-10.0,14.4,2.1259360730593606,4.985844748858447,170.21199194012667,193.78629032258064,52.05172413793103,3.5137931034482754,5.0,3.6620689655172414,0.6379310344827587,2.7551724137931037
2016,3,7.04516129032258,-7.5,21.4,2.1259360730593606,4.985844748858447,164.1335175590098,255.47983870967744,51.016129032258064,5.17741935483871,3.1537313432835816,3.5580645161290323,7.458064516129032,2.4419354838709677
2016,4,14.066666666666666,5.1,29.6,2.1259360730593606,7.5,174.66987334484745,240.18467741935484,54.75666666666667,8.313333333333334,3.1537313432835816,4.803333333333333,14.846666666666666,2.42
2016,5,19.55806451612903,8.9,31.9,3.5,12.0,199.55881404720782,332.48387096774195,56.21935483870968,11.970967741935485,3.1537313432835816,4.587096774193548,20.425806451612903,2.3677419354838714
2016,6,23.596666666666668,17.1,32.2,16.5,26.0,148.90093264248705,209.18548387096774,62.86666666666667,17.916666666666668,3.1537313432835816,5.25,24.946666666666665,2.13
2016,7,26.23548387096774,19.8,34.1,20.5,51.5,179.5594070236039,444.19193548387096,72.86129032258064,24.425806451612903,3.1537313432835816,7.193548387096774,26.374193548387098,2.148387096774193
2016,8,27.996774193548386,16.1,36.6,4.5,11.5,134.52411053540587,196.08790322580646,63.88387096774194,24.02258064516129,3.1537313432835816,4.619354838709677,28.725806451612904,2.0580645161290323
2016,9,23.083333333333332,14.3,31.1,3.0,4.985844748858447,167.345636154289,230.78145161290323,64.51333333333334,18.006666666666668,3.1537313432835816,5.760000000000001,23.793333333333333,1.9633333333333334
2016,10,16.080645161290324,0.7,29.0,2.5,10.0,191.41775474956822,255.38306451612905,62.23225806451613,11.687096774193549,3.1537313432835816,5.280645161290322,17.612903225806452,2.1193548387096777
2016,11,6.7733333333333325,-6.2,18.6,2.1259360730593606,4.985844748858447,127.20516983304547,137.08870967741936,56.779999999999994,6.183333333333334,3.1537313432835816,4.743333333333334,8.963333333333333,2.2233333333333336
2016,12,1.2451612903225806,-9.8,13.6,2.1259360730593606,4.985844748858447,170.56199194012666,207.28629032258064,59.15806451612904,4.212903225806452,3.1537313432835816,4.699999999999999,3.267741935483871,2.225806451612903
2017,1,-1.8290322580645162,-12.6,11.4,2.1259360730593606,4.985844748858447,147.69093264248704,169.68548387096774,54.60645161290322,3.170967741935484,6.6,3.4967741935483874,0.8193548387096774,2.3
2017,2,-0.24642857142857139,-9.3,12.3,2.1259360730593606,4.985844748858447,167.3166954519286,200.28225806451613,53.66428571428571,3.317857142857143,3.1537313432835816,2.8214285714285716,0.4928571428571429,2.4464285714285716
2017,3,6.325806451612903,-5.3,18.9,2.1259360730593606,4.985844748858447,162.055636154289,205.68145161290323,48.10322580645161,4.490322580645161,3.1537313432835816,3.896774193548387,6.9,2.3677419354838714
2017,4,13.933333333333334,3.1,27.8,2.5,8.5,162.44881404720783,233.58387096774194,52.373333333333335,7.986666666666666,3.1537313432835816,4.38,14.113333333333333,2.55
2017,5,19.490322580645163,10.0,30.3,3.5,6.0,161.72457685664938,222.48064516129034,52.28709677419355,11.44516129032258,3.1537313432835816,3.8774193548387097,20.661290322580644,2.429032258064516
2017,6,23.273333333333333,14.5,34.1,4.5,17.0,155.59199194012666,212.78629032258064,56.60333333333333,15.666666666666666,3.1537313432835816,4.673333333333333,25.03666666666667,2.3733333333333335
2017,7,26.92258064516129,21.9,35.4,16.0,53.0,224.42152561888312,689.7935483870967,77.1774193548387,26.9,3.1537313432835816,7.887096774193548,27.403225806451612,2.0
2017,8,25.916129032258063,16.1,35.3,13.0,35.5,205.2372884283247,400.19032258064516,70.81935483870969,23.65806451612903,3.1537313432835816,7.048387096774194,26.97741935483871,2.2548387096774194
2017,9,22.103333333333335,11.2,31.4,5.0,9.0,166.1177547495682,215.58306451612904,60.92999999999999,15.986666666666668,3.1537313432835816,4.193333333333333,23.63,1.98
2017,10,16.40967741935484,2.5,29.4,2.5,6.0,174.955636154289,224.28145161290323,56.25806451612903,10.73225806451613,3.1537313432835816,4.52258064516129,18.045332350230414,1.9491428571428573
2017,11,5.626666666666667,-6.6,18.4,2.1259360730593606,4.985844748858447,130.84305123776625,178.28709677419354,53.42666666666666,5.406666666666666,3.1537313432835816,4.15,8.57,2.0766666666666667
2017,12,-1.929032258064516,-12.3,8.7,2.1259360730593606,4.985844748858447,164.62199194012666,180.98629032258066,55.854838709677416,3.2806451612903227,5.1,3.8741935483870966,0.8193548387096775,1.8176405529953916
2018,1,-3.97741935483871,-17.8,8.7,2.1259360730593606,4.985844748858447,157.26881404720783,180.48387096774195,48.03225806451613,2.47741935483871,3.5,4.254838709677419,-0.9387096774193548,1.8709677419354838
2018,2,-1.6464285714285711,-13.4,10.4,2.1259360730593606,4.985844748858447,150.1266954519286,218.78225806451613,44.91428571428571,2.6214285714285714,4.1,3.914285714285714,-1.0285714285714287,2.1785714285714284
2018,3,8.080645161290322,-6.7,22.1,2.1259360730593606,4.985844748858447,208.2077547495682,230.08306451612904,59.20645161290322,6.606451612903226,3.1537313432835816,5.206451612903226,7.487096774193549,1.9193548387096775
2018,4,12.986666666666668,0.1,26.3,2.5,8.5,214.10987334484744,293.68467741935484,54.63,7.97,3.1537313432835816,4.683333333333334,13.266666666666667,2.0033333333333334
2018,5,18.16774193548387,6.9,29.6,13.5,35.0,231.36199194012664,368.18629032258065,63.435483870967744,13.09032258064516,3.1537313432835816,5.448387096774193,19.316129032258065,1.7193548387096773
2018,6,23.136666666666667,16.3,32.9,11.0,22.5,181.35093264248704,326.28548387096777,63.03333333333333,17.303333333333335,3.1537313432835816,5.873333333333333,24.88,1.68
2018,7,27.796774193548387,17.7,38.3,9.5,25.0,212.7677547495682,366.18306451612904,67.45161290322581,24.612903225806452,3.1537313432835816,5.109677419354839,27.664687188940093,1.461290322580645
2018,8,28.761290322580646,20.2,39.6,25.5,43.5,189.42411053540587,331.5879032258065,64.71935483870968,24.91290322580645,3.1537313432835816,5.819354838709677,29.361461382488482,1.6903225806451612
2018,9,21.496666666666666,10.8,30.9,5.5,20.0,173.00093264248704,223.28548387096777,60.66,15.443333333333333,3.1537313432835816,5.113333333333333,23.39,1.5633333333333332
2018,10,13.05483870967742,0.7,25.6,3.0,10.5,170.52881404720782,292.48387096774195,59.34838709677419,8.883870967741935,3.1537313432835816,3.693548387096774,15.432258064516128,1.5451612903225806
2018,11,7.793333333333334,-3.1,19.4,2.1259360730593606,4.985844748858447,174.18775474956823,259.68306451612904,57.48,6.28,8.8,4.04,9.123333333333333,1.3966666666666667
